param n := 30;
param H := 194;

param r :=
  1 10
  2 4
  3 2
  4 1
  5 0
  6 3
  7 10
  8 7
  9 2
  10 4
  11 5
  12 6
  13 5
  14 7
  15 1
  16 9
  17 1
  18 4
  19 1
  20 7
  21 5
  22 10
  23 9
  24 3
  25 6
  26 10
  27 3
  28 6
  29 3
  30 10
;

param p :=
  1 4
  2 6
  3 4
  4 9
  5 4
  6 3
  7 9
  8 7
  9 9
  10 5
  11 4
  12 4
  13 7
  14 4
  15 7
  16 6
  17 3
  18 4
  19 9
  20 8
  21 8
  22 7
  23 5
  24 5
  25 7
  26 8
  27 3
  28 7
  29 8
  30 10
;

param d :=
  1 14
  2 11
  3 10
  4 10
  5 5
  6 7
  7 22
  8 14
  9 16
  10 10
  11 9
  12 12
  13 12
  14 14
  15 13
  16 20
  17 5
  18 9
  19 14
  20 17
  21 16
  22 18
  23 18
  24 11
  25 16
  26 18
  27 8
  28 14
  29 14
  30 26
;
